game_id,game_number,game_code,date,start_time,venue,home_team,away_team,home_ioc,away_ioc,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,status,round,group,tournament,scraped_at,home_innings,away_innings,scorers,technical_commissioners
173463,36,F07,2025-07-23,2025-07-23 16:30:00,Campo de Béisbol de Irabia,Belgium,Poland,BEL,POL,9,5,7,6,2,4,F,0,0,,2025-07-25T20:41:54.614282,"3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173464,37,F08,2025-07-23,2025-07-23 16:45:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Croatia,Türkiye,CRO,TUR,12,5,14,7,4,4,F,0,0,,2025-07-25T20:41:54.614292,"0,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173465,38,Y13,2025-07-23,2025-07-23 19:00:00,"Campus Arrosadia UPNA, Navarra",Ireland,Italy,IRL,ITA,3,12,6,10,3,2,F,0,0,,2025-07-25T20:41:54.614301,"1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","5,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173466,39,Y12,2025-07-23,2025-07-23 19:00:00,Campo de Béisbol de Irabia,France,Ukraine,FRA,UKR,4,2,3,5,0,3,F,0,0,,2025-07-25T20:41:54.614311,"0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173467,40,X10,2025-07-23,2025-07-23 19:00:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Spain,Israel,ESP,ISR,16,5,13,6,0,2,F,0,0,,2025-07-25T20:41:54.614320,"8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173468,41,Y14,2025-07-24,2025-07-24 09:00:00,"Campus Arrosadia UPNA, Navarra",Austria,Ukraine,AUT,UKR,2,10,5,12,1,1,F,0,0,,2025-07-25T20:41:54.614330,"0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173469,42,Y15,2025-07-24,2025-07-24 09:00:00,Campo de Béisbol de Irabia,Germany,France,GER,FRA,11,10,11,14,3,3,F,0,0,,2025-07-25T20:41:54.614340,"5,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173470,43,F09,2025-07-24,2025-07-24 11:30:00,"Campus Arrosadia UPNA, Navarra",Croatia,Poland,CRO,POL,2,9,4,6,1,1,F,0,0,,2025-07-25T20:41:54.614349,"0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173471,44,F10,2025-07-24,2025-07-24 11:30:00,Campo de Béisbol de Irabia,Belgium,Sweden,BEL,SWE,13,11,8,7,0,6,F,0,0,,2025-07-25T20:41:54.614359,"4,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173473,46,E02,2025-07-24,2025-07-24 14:30:00,Campo de Béisbol de Irabia,Great Britain,France,GBR,FRA,4,3,4,6,3,0,F,0,0,,2025-07-25T20:41:54.614369,"0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,
